|Ben    |Super  |Spact  |Village|
|Church |Ace    |Heli   |Super  |
|Church |Ace    |Heli   |Mortar |
|Church |Sniper |Spact  |Village|
|Church |Sniper |Super  |Village|
|Church |Sniper |Super  |Spact  |
|Church |Sniper |Mortar |Village|
|Church |Sniper |Mortar |Spact  |
|Church |Sniper |Mortar |Super  |
|Church |Sniper |Heli   |Village|
|Church |Sniper |Heli   |Spact  |
|Church |Sniper |Heli   |Super  |
|Church |Sniper |Heli   |Mortar |
|Church |Sniper |Ace    |Village|
|Church |Sniper |Ace    |Spact  |
|Church |Sniper |Ace    |Super  |
|Church |Sniper |Ace    |Mortar |
|Church |Sniper |Ace    |Heli   |
|Church |Glue   |Spact  |Village|
|Church |Glue   |Super  |Village|
|Church |Glue   |Super  |Spact  |
|Church |Glue   |Mortar |Village|
|Church |Glue   |Mortar |Spact  |
|Church |Glue   |Mortar |Super  |
|Church |Glue   |Heli   |Village|
|Church |Glue   |Heli   |Spact  |
|Church |Glue   |Heli   |Super  |
|Church |Glue   |Heli   |Mortar |
|Church |Glue   |Ace    |Village|
|Church |Glue   |Ace    |Spact  |
|Church |Glue   |Ace    |Super  |
|Church |Glue   |Ace    |Mortar |
|Church |Glue   |Ace    |Heli   |
|Church |Glue   |Sniper |Village|
|Church |Glue   |Sniper |Spact  |
|Church |Glue   |Sniper |Super  |
|Church |Glue   |Sniper |Mortar |
|Church |Glue   |Sniper |Heli   |
|Church |Glue   |Sniper |Ace    |
|Church |Ice    |Spact  |Village|
|Church |Ice    |Super  |Village|
|Church |Ice    |Super  |Spact  |
|Church |Ice    |Mortar |Village|
|Church |Ice    |Mortar |Spact  |
|Church |Ice    |Mortar |Super  |
|Church |Ice    |Heli   |Village|
|Church |Ice    |Heli   |Spact  |
|Church |Ice    |Heli   |Super  |
|Church |Ice    |Heli   |Mortar |
|Church |Ice    |Ace    |Village|
|Church |Ice    |Ace    |Spact  |
|Church |Ice    |Ace    |Super  |
|Church |Ice    |Ace    |Mortar |
|Church |Ice    |Ace    |Heli   |
|Church |Ice    |Sniper |Village|
|Church |Ice    |Sniper |Spact  |
|Church |Ice    |Sniper |Super  |
|Church |Ice    |Sniper |Mortar |
|Church |Ice    |Sniper |Heli   |
|Church |Ice    |Sniper |Ace    |
|Church |Ice    |Glue   |Village|
|Church |Ice    |Glue   |Spact  |
|Church |Ice    |Glue   |Super  |
|Church |Ice    |Glue   |Mortar |
|Church |Ice    |Glue   |Heli   |
|Church |Ice    |Glue   |Ace    |
|Church |Ice    |Glue   |Sniper |
|Pat    |Super  |Spact  |Village|
|Pat    |Mortar |Spact  |Village|
|Pat    |Mortar |Super  |Village|
|Pat    |Mortar |Super  |Spact  |
|Pat    |Heli   |Spact  |Village|
|Pat    |Heli   |Super  |Village|
|Pat    |Heli   |Super  |Spact  |
|Pat    |Heli   |Mortar |Village|
|Pat    |Heli   |Mortar |Spact  |
|Pat    |Heli   |Mortar |Super  |
|Pat    |Ace    |Spact  |Village|
|Pat    |Ace    |Super  |Village|
|Pat    |Ace    |Super  |Spact  |
|Pat    |Ace    |Mortar |Village|
|Pat    |Ace    |Mortar |Spact  |
|Pat    |Ace    |Mortar |Super  |
|Pat    |Ace    |Heli   |Village|
|Pat    |Ace    |Heli   |Spact  |
|Pat    |Ace    |Heli   |Super  |
|Pat    |Ace    |Heli   |Mortar |
|Pat    |Sniper |Spact  |Village|
|Pat    |Sniper |Super  |Village|
|Pat    |Sniper |Super  |Spact  |
|Pat    |Sniper |Mortar |Village|
|Pat    |Sniper |Mortar |Spact  |
|Pat    |Sniper |Mortar |Super  |
|Pat    |Sniper |Heli   |Village|
|Pat    |Sniper |Heli   |Spact  |
|Pat    |Sniper |Heli   |Super  |
|Pat    |Sniper |Heli   |Mortar |
|Pat    |Sniper |Ace    |Village|
|Pat    |Sniper |Ace    |Spact  |
|Pat    |Sniper |Ace    |Super  |
|Pat    |Sniper |Ace    |Mortar |
|Pat    |Sniper |Ace    |Heli   |
|Pat    |Glue   |Spact  |Village|
|Pat    |Glue   |Super  |Village|
|Pat    |Glue   |Super  |Spact  |
|Pat    |Glue   |Mortar |Village|
|Pat    |Glue   |Mortar |Spact  |
|Pat    |Glue   |Mortar |Super  |
|Pat    |Glue   |Heli   |Village|
|Pat    |Glue   |Heli   |Spact  |
|Pat    |Glue   |Heli   |Super  |
|Pat    |Glue   |Heli   |Mortar |
|Pat    |Glue   |Ace    |Village|
|Pat    |Glue   |Ace    |Spact  |
|Pat    |Glue   |Ace    |Super  |
|Pat    |Glue   |Ace    |Mortar |
|Pat    |Glue   |Ace    |Heli   |
|Pat    |Glue   |Sniper |Village|
|Pat    |Glue   |Sniper |Spact  |
|Pat    |Glue   |Sniper |Super  |
|Pat    |Glue   |Sniper |Mortar |
|Pat    |Glue   |Sniper |Heli   |
|Pat    |Glue   |Sniper |Ace    |
|Pat    |Ice    |Spact  |Village|
|Pat    |Ice    |Super  |Village|
|Pat    |Ice    |Super  |Spact  |
|Pat    |Ice    |Mortar |Village|
|Pat    |Ice    |Mortar |Spact  |
|Pat    |Ice    |Mortar |Super  |
|Pat    |Ice    |Heli   |Village|
|Pat    |Ice    |Heli   |Spact  |
|Pat    |Ice    |Heli   |Super  |
|Pat    |Ice    |Heli   |Mortar |
|Pat    |Ice    |Ace    |Village|
|Pat    |Ice    |Ace    |Spact  |
|Pat    |Ice    |Ace    |Super  |
|Pat    |Ice    |Ace    |Mortar |
|Pat    |Ice    |Ace    |Heli   |
|Pat    |Ice    |Sniper |Village|
|Pat    |Ice    |Sniper |Spact  |
|Pat    |Ice    |Sniper |Super  |
|Pat    |Ice    |Sniper |Mortar |
|Pat    |Ice    |Sniper |Heli   |
|Pat    |Ice    |Sniper |Ace    |
|Pat    |Ice    |Glue   |Village|
|Pat    |Ice    |Glue   |Spact  |
|Pat    |Ice    |Glue   |Super  |
|Pat    |Ice    |Glue   |Mortar |
|Pat    |Ice    |Glue   |Heli   |
|Pat    |Ice    |Glue   |Ace    |
|Pat    |Ice    |Glue   |Sniper |
|Obyn   |Mortar |Spact  |Village|
|Obyn   |Ace    |Spact  |Village|
|Obyn   |Ace    |Mortar |Village|
|Obyn   |Ace    |Mortar |Spact  |
|Obyn   |Sniper |Spact  |Village|
|Obyn   |Sniper |Mortar |Village|
|Obyn   |Sniper |Mortar |Spact  |
|Obyn   |Sniper |Ace    |Village|
|Obyn   |Sniper |Ace    |Spact  |
|Obyn   |Sniper |Ace    |Mortar |
|Obyn   |Glue   |Spact  |Village|
|Obyn   |Glue   |Mortar |Village|
|Obyn   |Glue   |Mortar |Spact  |
|Obyn   |Glue   |Ace    |Village|
|Obyn   |Glue   |Ace    |Spact  |
|Obyn   |Glue   |Ace    |Mortar |
|Obyn   |Glue   |Sniper |Village|
|Obyn   |Glue   |Sniper |Spact  |
|Obyn   |Glue   |Sniper |Mortar |
|Obyn   |Glue   |Sniper |Ace    |
|Obyn   |Ice    |Spact  |Village|
|Obyn   |Ice    |Mortar |Village|
|Obyn   |Ice    |Mortar |Spact  |
|Obyn   |Ice    |Ace    |Village|
|Obyn   |Ice    |Ace    |Spact  |
|Obyn   |Ice    |Ace    |Mortar |
|Obyn   |Ice    |Sniper |Village|
|Obyn   |Ice    |Sniper |Spact  |
|Obyn   |Ice    |Sniper |Mortar |
|Obyn   |Ice    |Sniper |Ace    |
|Obyn   |Ice    |Glue   |Village|
|Obyn   |Ice    |Glue   |Spact  |
|Obyn   |Ice    |Glue   |Mortar |
|Obyn   |Ice    |Glue   |Ace    |
|Obyn   |Ice    |Glue   |Sniper |
|Striker|Super  |Spact  |Village|
|Striker|Mortar |Spact  |Village|
|Striker|Mortar |Super  |Village|
|Striker|Mortar |Super  |Spact  |
|Striker|Heli   |Spact  |Village|
|Striker|Heli   |Super  |Village|
|Striker|Heli   |Super  |Spact  |
|Striker|Heli   |Mortar |Village|
|Striker|Heli   |Mortar |Spact  |
|Striker|Heli   |Mortar |Super  |
|Striker|Ace    |Spact  |Village|
|Striker|Ace    |Super  |Village|
|Striker|Ace    |Super  |Spact  |
|Striker|Ace    |Mortar |Village|
|Striker|Ace    |Mortar |Spact  |
|Striker|Ace    |Mortar |Super  |
|Striker|Ace    |Heli   |Village|
|Striker|Ace    |Heli   |Spact  |
|Striker|Ace    |Heli   |Super  |
|Striker|Ace    |Heli   |Mortar |
|Striker|Sniper |Spact  |Village|
|Striker|Sniper |Super  |Village|
|Striker|Sniper |Super  |Spact  |
|Striker|Sniper |Mortar |Village|
|Striker|Sniper |Mortar |Spact  |
|Striker|Sniper |Mortar |Super  |
|Striker|Sniper |Heli   |Village|
|Striker|Sniper |Heli   |Spact  |
|Striker|Sniper |Heli   |Super  |
|Striker|Sniper |Heli   |Mortar |
|Striker|Sniper |Ace    |Village|
|Striker|Sniper |Ace    |Spact  |
|Striker|Sniper |Ace    |Super  |
|Striker|Sniper |Ace    |Mortar |
|Striker|Sniper |Ace    |Heli   |
|Striker|Glue   |Spact  |Village|
|Striker|Glue   |Super  |Village|
|Striker|Glue   |Super  |Spact  |
|Striker|Glue   |Mortar |Village|
|Striker|Glue   |Mortar |Spact  |
|Striker|Glue   |Mortar |Super  |
|Striker|Glue   |Heli   |Village|
|Striker|Glue   |Heli   |Spact  |
|Striker|Glue   |Heli   |Super  |
|Striker|Glue   |Heli   |Mortar |
|Striker|Glue   |Ace    |Village|
|Striker|Glue   |Ace    |Spact  |
|Striker|Glue   |Ace    |Super  |
|Striker|Glue   |Ace    |Mortar |
|Striker|Glue   |Ace    |Heli   |
|Striker|Glue   |Sniper |Village|
|Striker|Glue   |Sniper |Spact  |
|Striker|Glue   |Sniper |Super  |
|Striker|Glue   |Sniper |Mortar |
|Striker|Glue   |Sniper |Heli   |
|Striker|Glue   |Sniper |Ace    |
|Striker|Ice    |Spact  |Village|
|Striker|Ice    |Super  |Village|
|Striker|Ice    |Super  |Spact  |
|Striker|Ice    |Mortar |Village|
|Striker|Ice    |Mortar |Spact  |
|Striker|Ice    |Mortar |Super  |
|Striker|Ice    |Heli   |Village|
|Striker|Ice    |Heli   |Spact  |
|Striker|Ice    |Heli   |Super  |
|Striker|Ice    |Heli   |Mortar |
|Striker|Ice    |Ace    |Village|
|Striker|Ice    |Ace    |Spact  |
|Striker|Ice    |Ace    |Super  |
|Striker|Ice    |Ace    |Mortar |
|Striker|Ice    |Ace    |Heli   |
|Striker|Ice    |Sniper |Village|
|Striker|Ice    |Sniper |Spact  |
|Striker|Ice    |Sniper |Super  |
|Striker|Ice    |Sniper |Mortar |
|Striker|Ice    |Sniper |Heli   |
|Striker|Ice    |Sniper |Ace    |
|Striker|Ice    |Glue   |Village|
|Striker|Ice    |Glue   |Spact  |
|Striker|Ice    |Glue   |Super  |
|Striker|Ice    |Glue   |Mortar |
|Striker|Ice    |Glue   |Heli   |
|Striker|Ice    |Glue   |Ace    |
|Striker|Ice    |Glue   |Sniper |
|Gwen   |Super  |Spact  |Village|
|Gwen   |Mortar |Spact  |Village|
|Gwen   |Mortar |Super  |Village|
|Gwen   |Mortar |Super  |Spact  |
|Gwen   |Heli   |Spact  |Village|
|Gwen   |Heli   |Super  |Village|
|Gwen   |Heli   |Super  |Spact  |
|Gwen   |Heli   |Mortar |Village|
|Gwen   |Heli   |Mortar |Spact  |
|Gwen   |Heli   |Mortar |Super  |
|Gwen   |Ace    |Spact  |Village|
|Gwen   |Ace    |Super  |Village|
|Gwen   |Ace    |Super  |Spact  |
|Gwen   |Ace    |Mortar |Village|
|Gwen   |Ace    |Mortar |Spact  |
|Gwen   |Ace    |Mortar |Super  |
|Gwen   |Ace    |Heli   |Village|
|Gwen   |Ace    |Heli   |Spact  |
|Gwen   |Ace    |Heli   |Super  |
|Gwen   |Ace    |Heli   |Mortar |
|Gwen   |Sniper |Spact  |Village|
|Gwen   |Sniper |Super  |Village|
|Gwen   |Sniper |Super  |Spact  |
|Gwen   |Sniper |Mortar |Village|
|Gwen   |Sniper |Mortar |Spact  |
|Gwen   |Sniper |Mortar |Super  |
|Gwen   |Sniper |Heli   |Village|
|Gwen   |Sniper |Heli   |Spact  |
|Gwen   |Sniper |Heli   |Super  |
|Gwen   |Sniper |Heli   |Mortar |
|Gwen   |Sniper |Ace    |Village|
|Gwen   |Sniper |Ace    |Spact  |
|Gwen   |Sniper |Ace    |Super  |
|Gwen   |Sniper |Ace    |Mortar |
|Gwen   |Sniper |Ace    |Heli   |
|Gwen   |Glue   |Spact  |Village|
|Gwen   |Glue   |Super  |Village|
|Gwen   |Glue   |Super  |Spact  |
|Gwen   |Glue   |Mortar |Village|
|Gwen   |Glue   |Mortar |Spact  |
|Gwen   |Glue   |Mortar |Super  |
|Gwen   |Glue   |Heli   |Village|
|Gwen   |Glue   |Heli   |Spact  |
|Gwen   |Glue   |Heli   |Super  |
|Gwen   |Glue   |Heli   |Mortar |
|Gwen   |Glue   |Ace    |Village|
|Gwen   |Glue   |Ace    |Spact  |
|Gwen   |Glue   |Ace    |Super  |
|Gwen   |Glue   |Ace    |Mortar |
|Gwen   |Glue   |Ace    |Heli   |
|Gwen   |Glue   |Sniper |Village|
|Gwen   |Glue   |Sniper |Spact  |
|Gwen   |Glue   |Sniper |Super  |
|Gwen   |Glue   |Sniper |Mortar |
|Gwen   |Glue   |Sniper |Heli   |
|Gwen   |Glue   |Sniper |Ace    |
|Gwen   |Ice    |Spact  |Village|
|Gwen   |Ice    |Super  |Village|
|Gwen   |Ice    |Super  |Spact  |
|Gwen   |Ice    |Mortar |Village|
|Gwen   |Ice    |Mortar |Spact  |
|Gwen   |Ice    |Mortar |Super  |
|Gwen   |Ice    |Heli   |Village|
|Gwen   |Ice    |Heli   |Spact  |
|Gwen   |Ice    |Heli   |Super  |
|Gwen   |Ice    |Heli   |Mortar |
|Gwen   |Ice    |Ace    |Village|
|Gwen   |Ice    |Ace    |Spact  |
|Gwen   |Ice    |Ace    |Super  |
|Gwen   |Ice    |Ace    |Mortar |
|Gwen   |Ice    |Ace    |Heli   |
|Gwen   |Ice    |Sniper |Village|
|Gwen   |Ice    |Sniper |Spact  |
|Gwen   |Ice    |Sniper |Super  |
|Gwen   |Ice    |Sniper |Mortar |
|Gwen   |Ice    |Sniper |Heli   |
|Gwen   |Ice    |Sniper |Ace    |
|Gwen   |Ice    |Glue   |Village|
|Gwen   |Ice    |Glue   |Spact  |
|Gwen   |Ice    |Glue   |Super  |
|Gwen   |Ice    |Glue   |Mortar |
|Gwen   |Ice    |Glue   |Heli   |
|Gwen   |Ice    |Glue   |Ace    |
|Gwen   |Ice    |Glue   |Sniper |
|Mortar |Super  |Spact  |Village|
|Heli   |Super  |Spact  |Village|
|Heli   |Mortar |Spact  |Village|
|Heli   |Mortar |Super  |Village|
|Heli   |Mortar |Super  |Spact  |
|Ace    |Super  |Spact  |Village|
|Ace    |Mortar |Spact  |Village|
|Ace    |Mortar |Super  |Village|
|Ace    |Mortar |Super  |Spact  |
|Ace    |Heli   |Spact  |Village|
|Ace    |Heli   |Super  |Village|
|Ace    |Heli   |Super  |Spact  |
|Ace    |Heli   |Mortar |Village|
|Ace    |Heli   |Mortar |Spact  |
|Ace    |Heli   |Mortar |Super  |
|Sniper |Super  |Spact  |Village|
|Sniper |Mortar |Spact  |Village|
|Sniper |Mortar |Super  |Village|
|Sniper |Mortar |Super  |Spact  |
|Sniper |Heli   |Spact  |Village|
|Sniper |Heli   |Super  |Village|
|Sniper |Heli   |Super  |Spact  |
|Sniper |Heli   |Mortar |Village|
|Sniper |Heli   |Mortar |Spact  |
|Sniper |Heli   |Mortar |Super  |
|Sniper |Ace    |Spact  |Village|
|Sniper |Ace    |Super  |Village|
|Sniper |Ace    |Super  |Spact  |
|Sniper |Ace    |Mortar |Village|
|Sniper |Ace    |Mortar |Spact  |
|Sniper |Ace    |Mortar |Super  |
|Sniper |Ace    |Heli   |Village|
|Sniper |Ace    |Heli   |Spact  |
|Sniper |Ace    |Heli   |Super  |
|Sniper |Ace    |Heli   |Mortar |
|Glue   |Super  |Spact  |Village|
|Glue   |Mortar |Spact  |Village|
|Glue   |Mortar |Super  |Village|
|Glue   |Mortar |Super  |Spact  |
|Glue   |Heli   |Spact  |Village|
|Glue   |Heli   |Super  |Village|
|Glue   |Heli   |Super  |Spact  |
|Glue   |Heli   |Mortar |Village|
|Glue   |Heli   |Mortar |Spact  |
|Glue   |Heli   |Mortar |Super  |
|Glue   |Ace    |Spact  |Village|
|Glue   |Ace    |Super  |Village|
|Glue   |Ace    |Super  |Spact  |
|Glue   |Ace    |Mortar |Village|
|Glue   |Ace    |Mortar |Spact  |
|Glue   |Ace    |Mortar |Super  |
|Glue   |Ace    |Heli   |Village|
|Glue   |Ace    |Heli   |Spact  |
|Glue   |Ace    |Heli   |Super  |
|Glue   |Ace    |Heli   |Mortar |
|Glue   |Sniper |Spact  |Village|
|Glue   |Sniper |Super  |Village|
|Glue   |Sniper |Super  |Spact  |
|Glue   |Sniper |Mortar |Village|
|Glue   |Sniper |Mortar |Spact  |
|Glue   |Sniper |Mortar |Super  |
|Glue   |Sniper |Heli   |Village|
|Glue   |Sniper |Heli   |Spact  |
|Glue   |Sniper |Heli   |Super  |
|Glue   |Sniper |Heli   |Mortar |
|Glue   |Sniper |Ace    |Village|
|Glue   |Sniper |Ace    |Spact  |
|Glue   |Sniper |Ace    |Super  |
|Glue   |Sniper |Ace    |Mortar |
|Glue   |Sniper |Ace    |Heli   |
|Ice    |Super  |Spact  |Village|
|Ice    |Mortar |Spact  |Village|
|Ice    |Mortar |Super  |Village|
|Ice    |Mortar |Super  |Spact  |
|Ice    |Heli   |Spact  |Village|
|Ice    |Heli   |Super  |Village|
|Ice    |Heli   |Super  |Spact  |
|Ice    |Heli   |Mortar |Village|
|Ice    |Heli   |Mortar |Spact  |
|Ice    |Heli   |Mortar |Super  |
|Ice    |Ace    |Spact  |Village|
|Ice    |Ace    |Super  |Village|
|Ice    |Ace    |Super  |Spact  |
|Ice    |Ace    |Mortar |Village|
|Ice    |Ace    |Mortar |Spact  |
|Ice    |Ace    |Mortar |Super  |
|Ice    |Ace    |Heli   |Village|
|Ice    |Ace    |Heli   |Spact  |
|Ice    |Ace    |Heli   |Super  |
|Ice    |Ace    |Heli   |Mortar |
|Ice    |Sniper |Spact  |Village|
|Ice    |Sniper |Super  |Village|
|Ice    |Sniper |Super  |Spact  |
|Ice    |Sniper |Mortar |Village|
|Ice    |Sniper |Mortar |Spact  |
|Ice    |Sniper |Mortar |Super  |
|Ice    |Sniper |Heli   |Village|
|Ice    |Sniper |Heli   |Spact  |
|Ice    |Sniper |Heli   |Super  |
|Ice    |Sniper |Heli   |Mortar |
|Ice    |Sniper |Ace    |Village|
|Ice    |Sniper |Ace    |Spact  |
|Ice    |Sniper |Ace    |Super  |
|Ice    |Sniper |Ace    |Mortar |
|Ice    |Sniper |Ace    |Heli   |
|Ice    |Glue   |Spact  |Village|
|Ice    |Glue   |Super  |Village|
|Ice    |Glue   |Super  |Spact  |
|Ice    |Glue   |Mortar |Village|
|Ice    |Glue   |Mortar |Spact  |
|Ice    |Glue   |Mortar |Super  |
|Ice    |Glue   |Heli   |Village|
|Ice    |Glue   |Heli   |Spact  |
|Ice    |Glue   |Heli   |Super  |
|Ice    |Glue   |Heli   |Mortar |
|Ice    |Glue   |Ace    |Village|
|Ice    |Glue   |Ace    |Spact  |
|Ice    |Glue   |Ace    |Super  |
|Ice    |Glue   |Ace    |Mortar |
|Ice    |Glue   |Ace    |Heli   |
|Ice    |Glue   |Sniper |Village|
|Ice    |Glue   |Sniper |Spact  |
|Ice    |Glue   |Sniper |Super  |
|Ice    |Glue   |Sniper |Mortar |
|Ice    |Glue   |Sniper |Heli   |
|Ice    |Glue   |Sniper |Ace    |
|Ben    |Super  |Alch   |Druid  |
|Ben    |Glue   |Alch   |Druid  |
|Ben    |Glue   |Super  |Druid  |
|Ben    |Glue   |Super  |Alch   |
|Ben    |Ice    |Alch   |Druid  |
|Ben    |Ice    |Super  |Druid  |
|Ben    |Ice    |Super  |Alch   |
|Ben    |Ice    |Glue   |Druid  |
|Ben    |Ice    |Glue   |Alch   |
|Ben    |Tack   |Alch   |Druid  |
|Ben    |Tack   |Super  |Druid  |
|Ben    |Tack   |Super  |Alch   |
|Ben    |Tack   |Glue   |Druid  |
|Ben    |Tack   |Glue   |Alch   |
|Ben    |Tack   |Glue   |Super  |
|Ben    |Tack   |Ice    |Druid  |
|Ben    |Tack   |Ice    |Alch   |
|Ben    |Tack   |Ice    |Super  |
|Ben    |Tack   |Ice    |Glue   |
|Ben    |Bomb   |Alch   |Druid  |
|Ben    |Bomb   |Super  |Druid  |
|Ben    |Bomb   |Super  |Alch   |
|Ben    |Bomb   |Glue   |Druid  |
|Ben    |Bomb   |Glue   |Alch   |
|Ben    |Bomb   |Glue   |Super  |
|Ben    |Bomb   |Ice    |Druid  |
|Ben    |Bomb   |Ice    |Alch   |
|Ben    |Bomb   |Ice    |Super  |
|Ben    |Bomb   |Ice    |Glue   |
|Ben    |Bomb   |Tack   |Druid  |
|Ben    |Bomb   |Tack   |Alch   |
|Ben    |Bomb   |Tack   |Super  |
|Ben    |Bomb   |Tack   |Glue   |
|Ben    |Bomb   |Tack   |Ice    |
|Ben    |Boomer |Alch   |Druid  |
|Ben    |Boomer |Super  |Druid  |
|Ben    |Boomer |Super  |Alch   |
|Ben    |Boomer |Glue   |Druid  |
|Ben    |Boomer |Glue   |Alch   |
|Ben    |Boomer |Glue   |Super  |
|Ben    |Boomer |Ice    |Druid  |
|Ben    |Boomer |Ice    |Alch   |
|Ben    |Boomer |Ice    |Super  |
|Ben    |Boomer |Ice    |Glue   |
|Ben    |Boomer |Tack   |Druid  |
|Ben    |Boomer |Tack   |Alch   |
|Ben    |Boomer |Tack   |Super  |
|Ben    |Boomer |Tack   |Glue   |
|Ben    |Boomer |Tack   |Ice    |
|Ben    |Boomer |Bomb   |Druid  |
|Ben    |Boomer |Bomb   |Alch   |
|Ben    |Boomer |Bomb   |Super  |
|Ben    |Boomer |Bomb   |Glue   |
|Ben    |Boomer |Bomb   |Ice    |
|Ben    |Boomer |Bomb   |Tack   |
|Pat    |Super  |Alch   |Druid  |
|Pat    |Glue   |Alch   |Druid  |
|Pat    |Glue   |Super  |Druid  |
|Pat    |Glue   |Super  |Alch   |
|Pat    |Ice    |Alch   |Druid  |
|Pat    |Ice    |Super  |Druid  |
|Pat    |Ice    |Super  |Alch   |
|Pat    |Ice    |Glue   |Druid  |
|Pat    |Ice    |Glue   |Alch   |
|Pat    |Tack   |Alch   |Druid  |
|Pat    |Tack   |Super  |Druid  |
|Pat    |Tack   |Super  |Alch   |
|Pat    |Tack   |Glue   |Druid  |
|Pat    |Tack   |Glue   |Alch   |
|Pat    |Tack   |Glue   |Super  |
|Pat    |Tack   |Ice    |Druid  |
|Pat    |Tack   |Ice    |Alch   |
|Pat    |Tack   |Ice    |Super  |
|Pat    |Tack   |Ice    |Glue   |
|Pat    |Bomb   |Alch   |Druid  |
|Pat    |Bomb   |Super  |Druid  |
|Pat    |Bomb   |Super  |Alch   |
|Pat    |Bomb   |Glue   |Druid  |
|Pat    |Bomb   |Glue   |Alch   |
|Pat    |Bomb   |Glue   |Super  |
|Pat    |Bomb   |Ice    |Druid  |
|Pat    |Bomb   |Ice    |Alch   |
|Pat    |Bomb   |Ice    |Super  |
|Pat    |Bomb   |Ice    |Glue   |
|Pat    |Bomb   |Tack   |Druid  |
|Pat    |Bomb   |Tack   |Alch   |
|Pat    |Bomb   |Tack   |Super  |
|Pat    |Bomb   |Tack   |Glue   |
