|Ezili  |Ninja  |Alch   |Engi   |
|Ezili  |Dart   |Wizard |Village|
|Ezili  |Dart   |Wizard |Spact  |
|Ezili  |Dart   |Wizard |Druid  |
|Ezili  |Dart   |Wizard |Alch   |
|Ezili  |Dart   |Wizard |Ninja  |
|Ezili  |Dart   |Wizard |Super  |
|Ezili  |Dart   |Mortar |Wizard |
|Ezili  |Dart   |Heli   |Alch   |
|Ezili  |Dart   |Heli   |Wizard |
|Ezili  |Dart   |Ace    |Wizard |
|Ezili  |Dart   |Bucc   |Wizard |
|Ezili  |Dart   |Sub    |Super  |
|Ezili  |Dart   |Sub    |Wizard |
|Ezili  |Dart   |Sub    |Heli   |
|Ezili  |Dart   |Sniper |Wizard |
|Ezili  |Dart   |Glue   |Wizard |
|Ezili  |Dart   |Ice    |Wizard |
|Ezili  |Dart   |Tack   |Wizard |
|Ezili  |Dart   |Bomb   |Wizard |
|Ezili  |Dart   |Boomer |Wizard |
|Ben    |Ninja  |Alch   |Engi   |
|Ben    |Ninja  |Alch   |Village|
|Ben    |Ninja  |Alch   |Spact  |
|Ben    |Ninja  |Alch   |Druid  |
|Ben    |Super  |Ninja  |Village|
|Ben    |Super  |Ninja  |Alch   |
|Ben    |Wizard |Spact  |Engi   |
|Ben    |Wizard |Spact  |Village|
|Ben    |Wizard |Druid  |Spact  |
|Ben    |Wizard |Alch   |Spact  |
|Ben    |Wizard |Ninja  |Engi   |
|Ben    |Wizard |Ninja  |Village|
|Ben    |Wizard |Ninja  |Spact  |
|Ben    |Wizard |Ninja  |Druid  |
|Ben    |Wizard |Ninja  |Alch   |
|Ben    |Wizard |Super  |Spact  |
|Ben    |Wizard |Super  |Ninja  |
|Ben    |Mortar |Ninja  |Alch   |
|Ben    |Mortar |Wizard |Engi   |
|Ben    |Mortar |Wizard |Village|
|Ben    |Mortar |Wizard |Spact  |
|Ben    |Mortar |Wizard |Druid  |
|Ben    |Mortar |Wizard |Alch   |
|Ben    |Mortar |Wizard |Ninja  |
|Ben    |Mortar |Wizard |Super  |
|Ben    |Heli   |Alch   |Engi   |
|Ben    |Heli   |Alch   |Village|
|Ben    |Heli   |Alch   |Spact  |
|Ben    |Heli   |Alch   |Druid  |
|Ben    |Heli   |Ninja  |Alch   |
|Ben    |Heli   |Super  |Alch   |
|Ben    |Heli   |Wizard |Engi   |
|Ben    |Heli   |Wizard |Village|
|Ben    |Heli   |Wizard |Spact  |
|Ben    |Heli   |Wizard |Druid  |
|Ben    |Heli   |Wizard |Alch   |
|Ben    |Heli   |Wizard |Ninja  |
|Ben    |Heli   |Wizard |Super  |
|Ben    |Heli   |Mortar |Alch   |
|Ben    |Heli   |Mortar |Wizard |
|Ben    |Ace    |Ninja  |Alch   |
|Ben    |Ace    |Wizard |Engi   |
|Ben    |Ace    |Wizard |Village|
|Ben    |Ace    |Wizard |Spact  |
|Ben    |Ace    |Wizard |Druid  |
|Ben    |Ace    |Wizard |Alch   |
|Ben    |Ace    |Wizard |Ninja  |
|Ben    |Ace    |Wizard |Super  |
|Ben    |Ace    |Mortar |Wizard |
|Ben    |Ace    |Heli   |Alch   |
|Ben    |Ace    |Heli   |Wizard |
|Ben    |Bucc   |Ninja  |Alch   |
|Ben    |Bucc   |Wizard |Engi   |
|Ben    |Bucc   |Wizard |Village|
|Ben    |Bucc   |Wizard |Spact  |
|Ben    |Bucc   |Wizard |Druid  |
|Ben    |Bucc   |Wizard |Alch   |
|Ben    |Bucc   |Wizard |Ninja  |
|Ben    |Bucc   |Wizard |Super  |
|Ben    |Bucc   |Mortar |Wizard |
|Ben    |Bucc   |Heli   |Village|
|Ben    |Bucc   |Heli   |Alch   |
|Ben    |Bucc   |Heli   |Wizard |
|Ben    |Bucc   |Ace    |Wizard |
|Ben    |Sub    |Ninja  |Alch   |
|Ben    |Sub    |Super  |Engi   |
|Ben    |Sub    |Super  |Village|
|Ben    |Sub    |Super  |Spact  |
|Ben    |Sub    |Super  |Druid  |
|Ben    |Sub    |Super  |Alch   |
|Ben    |Sub    |Super  |Ninja  |
|Ben    |Sub    |Wizard |Spact  |
|Ben    |Sub    |Wizard |Ninja  |
|Ben    |Sub    |Wizard |Super  |
|Ben    |Sub    |Mortar |Super  |
|Ben    |Sub    |Mortar |Wizard |
|Ben    |Sub    |Heli   |Engi   |
|Ben    |Sub    |Heli   |Village|
|Ben    |Sub    |Heli   |Spact  |
|Ben    |Sub    |Heli   |Druid  |
|Ben    |Sub    |Heli   |Alch   |
|Ben    |Sub    |Heli   |Ninja  |
|Ben    |Sub    |Heli   |Super  |
|Ben    |Sub    |Heli   |Wizard |
|Ben    |Sub    |Heli   |Mortar |
|Ben    |Sub    |Ace    |Super  |
|Ben    |Sub    |Ace    |Wizard |
|Ben    |Sub    |Ace    |Heli   |
|Ben    |Sub    |Bucc   |Super  |
|Ben    |Sub    |Bucc   |Wizard |
|Ben    |Sub    |Bucc   |Heli   |
|Ben    |Sniper |Ninja  |Alch   |
|Ben    |Sniper |Wizard |Spact  |
|Ben    |Sniper |Wizard |Ninja  |
|Ben    |Sniper |Mortar |Wizard |
|Ben    |Sniper |Heli   |Alch   |
|Ben    |Sniper |Heli   |Wizard |
|Ben    |Sniper |Ace    |Wizard |
|Ben    |Sniper |Bucc   |Wizard |
|Ben    |Sniper |Sub    |Super  |
|Ben    |Sniper |Sub    |Heli   |
|Ben    |Glue   |Ninja  |Alch   |
|Ben    |Glue   |Wizard |Spact  |
|Ben    |Glue   |Wizard |Ninja  |
|Ben    |Glue   |Mortar |Wizard |
|Ben    |Glue   |Heli   |Alch   |
|Ben    |Glue   |Heli   |Wizard |
|Ben    |Glue   |Ace    |Wizard |
|Ben    |Glue   |Bucc   |Wizard |
|Ben    |Glue   |Sub    |Super  |
|Ben    |Glue   |Sub    |Heli   |
|Ben    |Ice    |Ninja  |Alch   |
|Ben    |Ice    |Wizard |Spact  |
|Ben    |Ice    |Wizard |Ninja  |
|Ben    |Ice    |Mortar |Wizard |
|Ben    |Ice    |Heli   |Alch   |
|Ben    |Ice    |Heli   |Wizard |
|Ben    |Ice    |Ace    |Wizard |
|Ben    |Ice    |Bucc   |Wizard |
|Ben    |Ice    |Sub    |Super  |
|Ben    |Ice    |Sub    |Heli   |
|Ben    |Tack   |Ninja  |Alch   |
|Ben    |Tack   |Wizard |Spact  |
|Ben    |Tack   |Wizard |Ninja  |
|Ben    |Tack   |Mortar |Wizard |
|Ben    |Tack   |Heli   |Alch   |
|Ben    |Tack   |Heli   |Wizard |
|Ben    |Tack   |Ace    |Wizard |
|Ben    |Tack   |Bucc   |Wizard |
|Ben    |Tack   |Sub    |Super  |
|Ben    |Tack   |Sub    |Heli   |
|Ben    |Bomb   |Ninja  |Alch   |
|Ben    |Bomb   |Wizard |Spact  |
|Ben    |Bomb   |Wizard |Ninja  |
|Ben    |Bomb   |Mortar |Wizard |
|Ben    |Bomb   |Heli   |Alch   |
|Ben    |Bomb   |Heli   |Wizard |
|Ben    |Bomb   |Ace    |Wizard |
|Ben    |Bomb   |Bucc   |Wizard |
|Ben    |Bomb   |Sub    |Super  |
|Ben    |Bomb   |Sub    |Heli   |
|Ben    |Boomer |Ninja  |Alch   |
|Ben    |Boomer |Wizard |Spact  |
|Ben    |Boomer |Wizard |Ninja  |
|Ben    |Boomer |Mortar |Wizard |
|Ben    |Boomer |Heli   |Alch   |
|Ben    |Boomer |Heli   |Wizard |
|Ben    |Boomer |Ace    |Wizard |
|Ben    |Boomer |Bucc   |Wizard |
|Ben    |Boomer |Sub    |Super  |
|Ben    |Boomer |Sub    |Heli   |
|Ben    |Dart   |Ninja  |Alch   |
|Ben    |Dart   |Wizard |Engi   |
|Ben    |Dart   |Wizard |Village|
|Ben    |Dart   |Wizard |Spact  |
|Ben    |Dart   |Wizard |Druid  |
|Ben    |Dart   |Wizard |Alch   |
|Ben    |Dart   |Wizard |Ninja  |
|Ben    |Dart   |Wizard |Super  |
|Ben    |Dart   |Mortar |Wizard |
|Ben    |Dart   |Heli   |Alch   |
|Ben    |Dart   |Heli   |Wizard |
|Ben    |Dart   |Ace    |Wizard |
|Ben    |Dart   |Bucc   |Wizard |
|Ben    |Dart   |Sub    |Super  |
|Ben    |Dart   |Sub    |Wizard |
|Ben    |Dart   |Sub    |Heli   |
|Ben    |Dart   |Sniper |Wizard |
|Ben    |Dart   |Glue   |Wizard |
|Ben    |Dart   |Ice    |Wizard |
|Ben    |Dart   |Tack   |Wizard |
|Ben    |Dart   |Bomb   |Wizard |
|Ben    |Dart   |Boomer |Wizard |
|Church |Ninja  |Alch   |Engi   |
|Church |Ninja  |Alch   |Village|
|Church |Ninja  |Alch   |Spact  |
|Church |Ninja  |Alch   |Druid  |
|Church |Super  |Ninja  |Village|
|Church |Super  |Ninja  |Alch   |
|Church |Wizard |Village|Engi   |
|Church |Wizard |Spact  |Engi   |
|Church |Wizard |Spact  |Village|
|Church |Wizard |Druid  |Engi   |
|Church |Wizard |Druid  |Village|
|Church |Wizard |Druid  |Spact  |
|Church |Wizard |Alch   |Engi   |
|Church |Wizard |Alch   |Village|
|Church |Wizard |Alch   |Spact  |
|Church |Wizard |Alch   |Druid  |
|Church |Wizard |Ninja  |Engi   |
|Church |Wizard |Ninja  |Village|
|Church |Wizard |Ninja  |Spact  |
|Church |Wizard |Ninja  |Druid  |
|Church |Wizard |Ninja  |Alch   |
|Church |Wizard |Super  |Engi   |
|Church |Wizard |Super  |Village|
|Church |Wizard |Super  |Spact  |
|Church |Wizard |Super  |Druid  |
|Church |Wizard |Super  |Alch   |
|Church |Wizard |Super  |Ninja  |
|Church |Mortar |Ninja  |Alch   |
|Church |Mortar |Wizard |Engi   |
|Church |Mortar |Wizard |Village|
|Church |Mortar |Wizard |Spact  |
|Church |Mortar |Wizard |Druid  |
|Church |Mortar |Wizard |Alch   |
|Church |Mortar |Wizard |Ninja  |
|Church |Mortar |Wizard |Super  |
|Church |Heli   |Alch   |Engi   |
|Church |Heli   |Alch   |Village|
|Church |Heli   |Alch   |Spact  |
|Church |Heli   |Alch   |Druid  |
|Church |Heli   |Ninja  |Alch   |
|Church |Heli   |Super  |Alch   |
|Church |Heli   |Wizard |Engi   |
|Church |Heli   |Wizard |Village|
|Church |Heli   |Wizard |Spact  |
|Church |Heli   |Wizard |Druid  |
|Church |Heli   |Wizard |Alch   |
|Church |Heli   |Wizard |Ninja  |
|Church |Heli   |Wizard |Super  |
|Church |Heli   |Mortar |Alch   |
|Church |Heli   |Mortar |Wizard |
|Church |Ace    |Ninja  |Alch   |
|Church |Ace    |Wizard |Engi   |
|Church |Ace    |Wizard |Village|
|Church |Ace    |Wizard |Spact  |
|Church |Ace    |Wizard |Druid  |
|Church |Ace    |Wizard |Alch   |
|Church |Ace    |Wizard |Ninja  |
|Church |Ace    |Wizard |Super  |
|Church |Ace    |Mortar |Wizard |
|Church |Ace    |Heli   |Alch   |
|Church |Ace    |Heli   |Wizard |
|Church |Bucc   |Ninja  |Alch   |
|Church |Bucc   |Wizard |Engi   |
|Church |Bucc   |Wizard |Village|
|Church |Bucc   |Wizard |Spact  |
|Church |Bucc   |Wizard |Druid  |
|Church |Bucc   |Wizard |Alch   |
|Church |Bucc   |Wizard |Ninja  |
|Church |Bucc   |Wizard |Super  |
|Church |Bucc   |Mortar |Wizard |
|Church |Bucc   |Heli   |Village|
|Church |Bucc   |Heli   |Alch   |
|Church |Bucc   |Heli   |Wizard |
|Church |Bucc   |Ace    |Wizard |
|Church |Sub    |Ninja  |Alch   |
|Church |Sub    |Super  |Engi   |
|Church |Sub    |Super  |Village|
|Church |Sub    |Super  |Spact  |
|Church |Sub    |Super  |Druid  |
|Church |Sub    |Super  |Alch   |
|Church |Sub    |Super  |Ninja  |
|Church |Sub    |Wizard |Engi   |
|Church |Sub    |Wizard |Village|
|Church |Sub    |Wizard |Spact  |
|Church |Sub    |Wizard |Druid  |
|Church |Sub    |Wizard |Alch   |
|Church |Sub    |Wizard |Ninja  |
|Church |Sub    |Wizard |Super  |
|Church |Sub    |Mortar |Super  |
|Church |Sub    |Mortar |Wizard |
|Church |Sub    |Heli   |Engi   |
|Church |Sub    |Heli   |Village|
|Church |Sub    |Heli   |Spact  |
|Church |Sub    |Heli   |Druid  |
|Church |Sub    |Heli   |Alch   |
|Church |Sub    |Heli   |Ninja  |
|Church |Sub    |Heli   |Super  |
|Church |Sub    |Heli   |Wizard |
|Church |Sub    |Heli   |Mortar |
|Church |Sub    |Ace    |Super  |
|Church |Sub    |Ace    |Wizard |
|Church |Sub    |Ace    |Heli   |
|Church |Sub    |Bucc   |Super  |
|Church |Sub    |Bucc   |Wizard |
|Church |Sub    |Bucc   |Heli   |
|Church |Sniper |Ninja  |Alch   |
|Church |Sniper |Wizard |Engi   |
|Church |Sniper |Wizard |Village|
|Church |Sniper |Wizard |Spact  |
|Church |Sniper |Wizard |Druid  |
|Church |Sniper |Wizard |Alch   |
|Church |Sniper |Wizard |Ninja  |
|Church |Sniper |Wizard |Super  |
|Church |Sniper |Mortar |Wizard |
|Church |Sniper |Heli   |Alch   |
|Church |Sniper |Heli   |Wizard |
|Church |Sniper |Ace    |Wizard |
|Church |Sniper |Bucc   |Wizard |
|Church |Sniper |Sub    |Super  |
|Church |Sniper |Sub    |Wizard |
|Church |Sniper |Sub    |Heli   |
|Church |Glue   |Ninja  |Alch   |
|Church |Glue   |Wizard |Engi   |
|Church |Glue   |Wizard |Village|
|Church |Glue   |Wizard |Spact  |
|Church |Glue   |Wizard |Druid  |
|Church |Glue   |Wizard |Alch   |
|Church |Glue   |Wizard |Ninja  |
|Church |Glue   |Wizard |Super  |
|Church |Glue   |Mortar |Wizard |
|Church |Glue   |Heli   |Alch   |
|Church |Glue   |Heli   |Wizard |
|Church |Glue   |Ace    |Wizard |
|Church |Glue   |Bucc   |Wizard |
|Church |Glue   |Sub    |Super  |
|Church |Glue   |Sub    |Wizard |
|Church |Glue   |Sub    |Heli   |
|Church |Glue   |Sniper |Wizard |
|Church |Ice    |Ninja  |Alch   |
|Church |Ice    |Wizard |Engi   |
|Church |Ice    |Wizard |Village|
|Church |Ice    |Wizard |Spact  |
|Church |Ice    |Wizard |Druid  |
|Church |Ice    |Wizard |Alch   |
|Church |Ice    |Wizard |Ninja  |
|Church |Ice    |Wizard |Super  |
|Church |Ice    |Mortar |Wizard |
|Church |Ice    |Heli   |Alch   |
|Church |Ice    |Heli   |Wizard |
|Church |Ice    |Ace    |Wizard |
|Church |Ice    |Bucc   |Wizard |
|Church |Ice    |Sub    |Super  |
|Church |Ice    |Sub    |Wizard |
|Church |Ice    |Sub    |Heli   |
|Church |Ice    |Sniper |Wizard |
|Church |Ice    |Glue   |Wizard |
|Church |Tack   |Ninja  |Alch   |
|Church |Tack   |Wizard |Engi   |
|Church |Tack   |Wizard |Village|
|Church |Tack   |Wizard |Spact  |
|Church |Tack   |Wizard |Druid  |
|Church |Tack   |Wizard |Alch   |
|Church |Tack   |Wizard |Ninja  |
|Church |Tack   |Wizard |Super  |
|Church |Tack   |Mortar |Wizard |
|Church |Tack   |Heli   |Alch   |
|Church |Tack   |Heli   |Wizard |
|Church |Tack   |Ace    |Wizard |
|Church |Tack   |Bucc   |Wizard |
|Church |Tack   |Sub    |Super  |
|Church |Tack   |Sub    |Wizard |
|Church |Tack   |Sub    |Heli   |
|Church |Tack   |Sniper |Wizard |
|Church |Tack   |Glue   |Wizard |
|Church |Tack   |Ice    |Wizard |
|Church |Bomb   |Ninja  |Alch   |
|Church |Bomb   |Wizard |Engi   |
|Church |Bomb   |Wizard |Village|
|Church |Bomb   |Wizard |Spact  |
|Church |Bomb   |Wizard |Druid  |
|Church |Bomb   |Wizard |Alch   |
|Church |Bomb   |Wizard |Ninja  |
|Church |Bomb   |Wizard |Super  |
|Church |Bomb   |Mortar |Wizard |
|Church |Bomb   |Heli   |Alch   |
|Church |Bomb   |Heli   |Wizard |
|Church |Bomb   |Ace    |Wizard |
|Church |Bomb   |Bucc   |Wizard |
|Church |Bomb   |Sub    |Super  |
|Church |Bomb   |Sub    |Wizard |
|Church |Bomb   |Sub    |Heli   |
|Church |Bomb   |Sniper |Wizard |
|Church |Bomb   |Glue   |Wizard |
|Church |Bomb   |Ice    |Wizard |
|Church |Bomb   |Tack   |Wizard |
|Church |Boomer |Ninja  |Alch   |
|Church |Boomer |Wizard |Engi   |
|Church |Boomer |Wizard |Village|
|Church |Boomer |Wizard |Spact  |
|Church |Boomer |Wizard |Druid  |
|Church |Boomer |Wizard |Alch   |
|Church |Boomer |Wizard |Ninja  |
|Church |Boomer |Wizard |Super  |
|Church |Boomer |Mortar |Wizard |
|Church |Boomer |Heli   |Alch   |
|Church |Boomer |Heli   |Wizard |
|Church |Boomer |Ace    |Wizard |
|Church |Boomer |Bucc   |Wizard |
|Church |Boomer |Sub    |Super  |
|Church |Boomer |Sub    |Wizard |
|Church |Boomer |Sub    |Heli   |
|Church |Boomer |Sniper |Wizard |
|Church |Boomer |Glue   |Wizard |
|Church |Boomer |Ice    |Wizard |
|Church |Boomer |Tack   |Wizard |
|Church |Boomer |Bomb   |Wizard |
|Church |Dart   |Ninja  |Alch   |
|Church |Dart   |Wizard |Engi   |
|Church |Dart   |Wizard |Village|
|Church |Dart   |Wizard |Spact  |
|Church |Dart   |Wizard |Druid  |
|Church |Dart   |Wizard |Alch   |
|Church |Dart   |Wizard |Ninja  |
|Church |Dart   |Wizard |Super  |
|Church |Dart   |Mortar |Wizard |
|Church |Dart   |Heli   |Alch   |
|Church |Dart   |Heli   |Wizard |
|Church |Dart   |Ace    |Wizard |
|Church |Dart   |Bucc   |Wizard |
|Church |Dart   |Sub    |Super  |
|Church |Dart   |Sub    |Wizard |
|Church |Dart   |Sub    |Heli   |
|Church |Dart   |Sniper |Wizard |
|Church |Dart   |Glue   |Wizard |
|Church |Dart   |Ice    |Wizard |
|Church |Dart   |Tack   |Wizard |
|Church |Dart   |Bomb   |Wizard |
|Church |Dart   |Boomer |Wizard |
|Pat    |Ninja  |Alch   |Engi   |
|Pat    |Ninja  |Alch   |Village|
|Pat    |Ninja  |Alch   |Spact  |
|Pat    |Ninja  |Alch   |Druid  |
|Pat    |Super  |Ninja  |Village|
|Pat    |Super  |Ninja  |Alch   |
|Pat    |Wizard |Spact  |Engi   |
|Pat    |Wizard |Spact  |Village|
|Pat    |Wizard |Druid  |Spact  |
|Pat    |Wizard |Alch   |Spact  |
|Pat    |Wizard |Ninja  |Engi   |
|Pat    |Wizard |Ninja  |Village|
|Pat    |Wizard |Ninja  |Spact  |
|Pat    |Wizard |Ninja  |Druid  |
|Pat    |Wizard |Ninja  |Alch   |
|Pat    |Wizard |Super  |Spact  |
|Pat    |Wizard |Super  |Ninja  |
|Pat    |Mortar |Ninja  |Alch   |
|Pat    |Mortar |Wizard |Engi   |
|Pat    |Mortar |Wizard |Village|
|Pat    |Mortar |Wizard |Spact  |
|Pat    |Mortar |Wizard |Druid  |
|Pat    |Mortar |Wizard |Alch   |
|Pat    |Mortar |Wizard |Ninja  |
|Pat    |Mortar |Wizard |Super  |
|Pat    |Heli   |Alch   |Engi   |
|Pat    |Heli   |Alch   |Village|
|Pat    |Heli   |Alch   |Spact  |
|Pat    |Heli   |Alch   |Druid  |
|Pat    |Heli   |Ninja  |Alch   |
|Pat    |Heli   |Super  |Alch   |
|Pat    |Heli   |Wizard |Engi   |
|Pat    |Heli   |Wizard |Village|
|Pat    |Heli   |Wizard |Spact  |
|Pat    |Heli   |Wizard |Druid  |
|Pat    |Heli   |Wizard |Alch   |
|Pat    |Heli   |Wizard |Ninja  |
|Pat    |Heli   |Wizard |Super  |
|Pat    |Heli   |Mortar |Alch   |
|Pat    |Heli   |Mortar |Wizard |
|Pat    |Ace    |Ninja  |Alch   |
|Pat    |Ace    |Wizard |Engi   |
|Pat    |Ace    |Wizard |Village|
|Pat    |Ace    |Wizard |Spact  |
|Pat    |Ace    |Wizard |Druid  |
|Pat    |Ace    |Wizard |Alch   |
|Pat    |Ace    |Wizard |Ninja  |
|Pat    |Ace    |Wizard |Super  |
|Pat    |Ace    |Mortar |Wizard |
|Pat    |Ace    |Heli   |Alch   |
|Pat    |Ace    |Heli   |Wizard |
|Pat    |Bucc   |Ninja  |Alch   |
|Pat    |Bucc   |Wizard |Engi   |
|Pat    |Bucc   |Wizard |Village|
|Pat    |Bucc   |Wizard |Spact  |
|Pat    |Bucc   |Wizard |Druid  |
|Pat    |Bucc   |Wizard |Alch   |
|Pat    |Bucc   |Wizard |Ninja  |
|Pat    |Bucc   |Wizard |Super  |
|Pat    |Bucc   |Mortar |Wizard |
|Pat    |Bucc   |Heli   |Village|
|Pat    |Bucc   |Heli   |Alch   |
|Pat    |Bucc   |Heli   |Wizard |
